,Документ,Дата,Сводка
0,1,04.06.2025,"Встреча от 04.06.2025, Документ № 1

Ключевые темы:
- Разработка и внедрение учебников по НВП (Начальная Военная Подготовка).
- Стратегия продвижения образовательных проектов в России и за рубежом.
- Организация мероприятий и взаимодействие с партнерами и государственными органами.
- Планирование и развитие международных образовательных и культурных инициатив.
- Взаимодействие с IT-компаниями в рамках проекта 5%.

Основные тезисы:
- Обсуждение текущего состояния и планов по внедрению учебников НВП в школьную программу.
- Необходимость создания союзников для продвижения НВП в школах.
- Важность стратегического партнерства с государственными и частными организациями.
- Презентация корпоративных программ в Китае и планирование расширения.
- Обсуждение участия и представления на международных форумах и выставках.
- Планирование взаимодействия с арабскими государствами и развитие образовательных проектов в этих регионах.

Поручения:
- Лобов поручил Кучерявому и Кудинову подготовить доклад о популяризации учебника НВП.
- Лобов поручил Кучерявому подготовить дорожную карту по получению поручения о пилотном внедрении учебника НВП.
- Лобов поручил Александровой включить в реестр проекты по НВП.
- Лобов поручил Кучерявому подготовить доклад о необходимости оформления авторских прав на учебник НВП.
- Лобов поручил Ремыге и Александровой провести персональные встречи с GR-директорами по проектам в Китае.
- Лобов поручил Кучерявому передать презентацию 5% GR-директорам и подготовить доклад по распределению компаний.
- Лобов поручил Ерофееву подготовить проект приказа о системе мотивации по цифровой образовательной экосистеме.
- Лобов поручил Сарымову подготовить доклад о визите Президента РФ в Индию и образовательном агентстве.
- Лобов поручил Барсукову подготовить образовательный курс для GR-блока по продажам образовательной платформы.
- Лобов поручил Александровой включить новые контакты в CRM по результатам ПМЮФ.
- Лобов поручил Кучерявому подготовить доклад о премии Бизнес-Успех.

Участники:
- Вадим Георгиевич Лобов
- Кудинов
- Кучерявый
- Александрова
- Ремыга
- Полякова
- Другие участники, упомянутые в диалоге

Важные упоминания:
- Упоминание о необходимости лоббирования НВП в школьной программе.
- Поддержка и участие в международных форумах и выставках.
- Взаимодействие с IT-компаниями для реализации проекта 5%.
- Планирование образовательных инициатив в арабских странах и Китае.
- Разработка и продвижение цифровой образовательной экосистемы.

Итог:
- Встреча была посвящена обсуждению стратегических инициатив в области образования, включая разработку и внедрение учебников НВП, расширение международных образовательных программ, и взаимодействие с государственными органами и частными компаниями для реализации этих инициатив. Были даны поручения по подготовке докладов, презентаций и организации встреч для продвижения проектов."
1,2,09.04.2025,"Встреча от 09.04.2025, Документ № 2

Ключевые темы:
- Взаимодействие с Татьяной Минеевой и развитие базовой кафедры.
- Обсуждение программы проверки и взаимодействия с Госдумой.
- Вопросы по программе ""Защитник"" и взаимодействие с регионами.
- Взаимодействие с Новаком и Россетями.
- Аналитика по текущей геополитической ситуации и СВО.
- Вопросы по развитию и популяризации частного образования.
- Взаимодействие с общественными и государственными структурами.

Основные тезисы:
- Необходимость разработки и согласования планов взаимодействия с ключевыми партнёрами.
- Важность стратегического планирования и мозгового штурма для развития проектов.
- Обсуждение текущих законодательных инициатив и их влияние на образование.
- Важность международного сотрудничества и культурной дипломатии.
- Подготовка к проверкам и контроль за соблюдением законодательства.

Поручения:
- Лобов поручил Кучерявому: Подготовить план взаимодействия с Минеевой по совместным проектам.
- Лобов поручил Хитрову: Выдать GR-директорам книги Безрукова.
- Лобов поручил Высоковской: Отправить Василенко книгу Безрукова.
- Лобов поручил Михневой: Передать на рассмотрение всем GR-директорам презентацию Минеевой.
- Лобов поручил Кучерявому: Переработать план действий по Проверке для подготовки к встрече с Слуцким.
- Лобов поручил Хитрову: Передать Герасенковой справку для обсуждения с Цивилевой проектов по Проверке.
- Лобов поручил Вепринцевой: Организовать визит в Тулу для встречи с губернатором по вопросам проекта Защитник.
- Лобов поручил Кучерявому: Доработать повестку на Евкурова, включить вопросы от GR-директоров, в т.ч. о Военно-учебном центре и НВП.
- Лобов поручил Кучерявому: Подготовить в качестве подарка фото выступления Евкурова перед студентами Синергии.
- Лобов поручил Филатовой и Хитрову: Подготовить письма для администраций регионов о ввозе работников из Индии взамен стран СНГ.
- Лобов поручил Сарымову и Мурадову: Подготовить доклад с предложениями по развитию проектов GR-блока.
- Лобов поручил Вепринцевой: Подготовить справку об энергетических факультетах МТИ для обсуждения с Новаком.
- Лобов поручил Рагине: Подготовить архитектуру форума Мир возможностей в части освещения темы энергетики.
- Лобов поручил Александрову: Разделить программу проектов по Новаку на 2 блока: Правительство и Россети.
- Лобов поручил Михневой: Подготовить доклад о взаимодействии с Васильевой по программе Наставники.
- Лобов поручил Комиссарову: Подготовить доклад об ИИ-продуктах Корпорации для госслужащих.
- Лобов поручил Назарову: Подготовить регулярный доклад о прогнозах продолжительности СВО (1 раз в 2 недели).
- Лобов поручил Хитрову: Подготовить методику выявления иноагентов среди сотрудников Корпорации.
- Лобов поручил Александрову: Подготовить доклад о взаимодействии с Кикотем.
- Лобов поручил Кучерявому: Подготовить доклад о программе взаимодействия с Трутневым.
- Лобов поручил Волостнову: Подготовить доклад о возможности создания видеоигры о беспилотии.
- Лобов поручил Мурадову и Назарову: Проработать возможность создания совместного ДПО с РАНХиГС.

Участники:
- Лобов
- Кучерявый
- Хитров
- Высоковская
- Михнева
- Вепринцева
- Другие участники: представители GR-директоров, представители университетов и общественных организаций.

Важные упоминания:
- Взаимодействие с Татьяной Минеевой и её роль в развитии базовой кафедры.
- Законодательные инициативы Госдумы и их влияние на образовательную систему.
- Программа ""Защитник"" и взаимодействие с регионами.
- Взаимодействие с Новаком и Россетями в контексте энергетических проектов.
- Аналитика по текущей геополитической ситуации и СВО.

Итог:
- Встреча была посвящена обсуждению стратегических инициатив и проектов, направленных на развитие образовательной и культурной дипломатии, а также на укрепление взаимодействия с государственными и международными партнёрами. Были даны поручения по подготовке планов и докладов для дальнейшего развития проектов и взаимодействия с ключевыми фигурами и организациями."
2,3,14.05.2025,"Встреча от 14.05.2025, Документ № 3

Ключевые темы:
- Взаимодействие с Белгородской областью и обсуждение региональной информационной системы.
- Разработка и продвижение Цифровой образовательной экосистемы.
- Обсуждение законопроекта об ограничении количества платных мест в вузах.
- Вопросы привлечения иностранной рабочей силы и взаимодействие с Индией.
- Стратегии по привлечению иностранных граждан для участия в СВО.

Основные тезисы:
- Необходимость повторного доклада о взаимодействии с Белгородской областью.
- Разработка презентации и таблицы для продвижения Цифровой образовательной экосистемы.
- Обсуждение рисков и стратегий по законопроекту об ограничении платных мест в вузах.
- Привлечение иностранной рабочей силы из Индии и участие в тендерах.
- Взаимодействие с диаспорами и рекрутерами для привлечения иностранных граждан.

Поручения:
- Лобов поручил Волостнову: Подготовить повторный доклад о взаимодействии с Белгородом.
- Лобов поручил Ерофееву и Берковичу: Доработать презентацию Цифровой образовательной экосистемы и подготовить таблицу проработки регионов.
- Лобов поручил Ерофееву и Берковичу: Подготовить анализ конкурентов Цифровой образовательной экосистемы в регионах.
- Лобов поручил Мурадову: Проработать вопрос организации вебинаров для факультета ГМУ о Цифровой образовательной экосистеме.
- Лобов поручил Сарымову: Поработать возможность выхода Цифровой образовательной экосистемы на международный рынок.
- Лобов поручил Султанову и Александрову: Проработать с Минхом варианты мер по корректировке закона об ограничении количества платных мест в вузах.
- Лобов поручил Филатовой: Передать Мягких пакет документов для обсуждения с руководством АФК вопросов поставки рабочей силы из Индии.
- Лобов поручил Филатовой и Александровой: Подготовить таблицу со статусами по получению квот на иностранную рабочую силу.
- Лобов поручил Михневой: Включить в график встречу с Деньгиным и Якушевым.

Участники:
- Лобов
- Другой (неоднократно упоминаемый участник)
- Кучерявый
- Ерофеев
- Беркович
- Мурадов
- Сарымов
- Султанов
- Александров
- Филатова
- Михнева
- Вепринцева
- Кудинов
- Хашиев

Важные упоминания:
- Законопроект об ограничении платных мест в вузах и его влияние на частные вузы.
- Сотрудничество с Сбербанком и участие в тендерах на квоты для рабочей силы из Индии.
- Взаимодействие с Министерством цифрового развития и региональными властями.
- Стратегии по привлечению иностранных граждан для участия в СВО.

Итог:
Встреча была посвящена обсуждению стратегических вопросов взаимодействия с регионами, продвижению образовательных инициатив и обсуждению законодательных изменений. Были даны поручения по разработке и доработке материалов, а также по взаимодействию с ключевыми партнерами и государственными структурами. Важным аспектом стало обсуждение законопроекта об ограничении платных мест в вузах и стратегии по его корректировке."
3,4,16.04.2025,"Встреча от 16.04.2025, Документ № 4

Ключевые темы:
- Представление новых сотрудников и их ролей.
- Разработка и продвижение AI-продуктов.
- Обсуждение законопроекта об ограничении платных мест в вузах.
- Стратегии взаимодействия с депутатами и сенаторами.
- Инициативы по обучению и переподготовке кадров.
- Введение новых программ и проектов, включая ""Операция парламент"" и проект Минздрав.

Основные тезисы:
- Представлен новый директор департамента молодёжных проектов Денис Иванов.
- Обсуждение концепции AI-native и продуктов Synergy AI-chat, нейротьютор и Synergy Start.
- Необходимость занять нишу на рынке госуслуг с AI-продуктами.
- Важность взаимодействия с депутатами для защиты интересов частного образования.
- Обсуждение законопроекта, ограничивающего платные места в вузах, и его потенциальные последствия.
- Предложение лоббировать тему иностранного легиона и создание учебных центров для подготовки кадров.

Поручения:
- Лобов поручил Хитрову: оштрафовать опоздавших и отработать регламент для участников Zoom.
- Лобов поручил Комиссарову: подготовить подробный доклад о применении средств AI.
- Лобов поручил Мурадову: сформировать рабочую группу по GR-сопровождению AI-проектов и подготовить план действий.
- Лобов поручил Алончиковой: подготовить письмо и презентацию для приглашения региональных министров Минцифры на сессии по интеграции AI.
- Лобов поручил Кучерявому: подготовить повестку и типовые сценарии для проекта ""Операция парламент"".
- Лобов поручил Высоковской и Хитрову: выдать GR-директорам книгу «Как дружить с государством?» и проработать выпуск регулярного дайджеста GR-комитета.
- Лобов поручил Кучерявому: подготовить документы по проекту Минздрав и двухстраничную справку о проблемах с законопроектом об ограничении платных мест в вузах.

Участники:
- Вадим Георгиевич Лобов
- Денис Иванов
- Андрей Комиссаров
- Александрова
- Другие участники, включая представителей GR-комитета и сотрудников Синергии.

Важные упоминания:
- Synergy AI-chat и другие AI-продукты.
- Законопроект об ограничении платных мест в вузах.
- Инициативы по взаимодействию с депутатами и сенаторами.
- Проект ""Операция парламент"" и проект Минздрав.
- Иностранный легион и учебные центры для подготовки кадров.

Итог:
Встреча была сосредоточена на стратегическом обсуждении продвижения AI-продуктов, взаимодействии с госструктурами и депутатами для защиты интересов частного образования, а также на подготовке к изменениям в законодательстве, которые могут повлиять на деятельность Синергии. Были даны конкретные поручения по подготовке докладов, взаимодействию с ключевыми фигурами и разработке новых инициатив."
4,5,21.05.2025,"Встреча от 21.05.2025, Документ № 5

Ключевые темы:
- Координация работы с регионами и создание координационного центра.
- Проблемы с вербовкой иностранных специалистов и поиск новых подходов.
- Законопроект об ограничении платных мест в вузах и его последствия.
- Организация ярмарки академического искусства АРТ РОССИЯ.

Основные тезисы:
- Необходимость создания координационного центра для систематизации работы с регионами.
- Обсуждение стратегий по привлечению иностранных специалистов, включая использование агентств и создание агентской сети.
- Принятие законопроекта об ограничении платных мест в вузах вызвало резонанс и обсуждение возможных негативных последствий.
- Планы по проведению ярмарки академического искусства АРТ РОССИЯ и поиск спонсоров.

Поручения:
- Лобов поручил Кучерявому: Доработать приказ о повышении эффективности работы с субъектами РФ и обновить таблицу закрепления GR-директоров.
- Лобов поручил Хитрову и Кудинову: Проработать по линии Следственного комитета вопрос получения информации по въезжающим в РФ иностранцам.
- Лобов поручил Султанову: Проработать организацию направления писем от Совета Федерации, Ассоциации негосударственного образования об отмене закона об ограничении платных мест в вузах.
- Лобов поручил Ивковой: Проработать вопросы выпуска в сторонних ТГ-каналах о оттоке российских студентов за рубеж.
- Лобов поручил Медведевой: Подготовить повторный доклад об организации Арт Россия. Классика. Новый взгляд (гости, спонсоры, кейсы).

Участники:
- Лобов
- Другие участники (не все имена указаны)
- Кучерявый
- Хитров
- Кудинов
- Султанов
- Ивкова
- Медведева

Важные упоминания:
- Вологда готова принимать иностранных специалистов без знания русского языка.
- Проблемы с вербовкой иностранных специалистов из стран СНГ.
- Законопроект об ограничении платных мест в вузах и его возможное влияние на отток студентов за границу.
- Планы по проведению ярмарки академического искусства АРТ РОССИЯ в сентябре.

Итог:
- Встреча была посвящена обсуждению координации работы с регионами, вербовке иностранных специалистов, последствиям принятия нового законопроекта об ограничении платных мест в вузах и организации ярмарки академического искусства. Были даны поручения по каждому из обсуждаемых вопросов."
5,6,23.04.2025,"Встреча от 23.04.2025, Документ № 6

Ключевые темы:
- Организация встреч и взаимодействие с различными структурами.
- Проекты «Защитник», «Иностранный легион» и «Витрина».
- Законопроект об ограничении платных мест в вузах.
- Взаимодействие с IT-компаниями для обучения студентов.
- Организация мероприятий и взаимодействие с культурными проектами.

Основные тезисы:
- Необходимость организации встречи с Евкуровым для обсуждения стратегических вопросов.
- Введение новых подходов в проект «Защитник» с акцентом на высокие выплаты и регионы.
- Обсуждение законопроекта об ограничении платных мест в вузах и его возможные последствия.
- Инициатива по привлечению IT-компаний к образовательным проектам.
- Планирование и подготовка мероприятий, включая выставку Арт Россия и другие культурные события.

Поручения:
- Лобов поручил Хашиеву: Проработать вопрос организации встречи с Евкуровым.
- Лобов поручил Кучерявому: Сформировать рабочую группу по проекту «Витрина».
- Лобов поручил Кучерявому: Оптимизировать перечень регионов по проекту «Защитник», определить 3-5 наиболее приоритетных регионов.
- Лобов поручил Безрукову, Павлову, Семину, Батырову, Гориной: Подготовить презентацию в корпоративном стиле на базе презентации Минцифры об обучении ИТ-компаниями студентов в вузах и скрипт для обсуждения с ИТ-компаниями.
- Лобов поручил Ивковой: Вынести на совещание Кадровое агентство пиар-программу стратегии взаимодействия с Индией.
- Лобов поручил Медведевой: Подготовить анализ кейсов по Арт России и план действий по организации мероприятия Арт Россия. Классика. Новый взгляд.
- Лобов поручил Назарову и Сарымову: Подготовить доклады о проведении Лиги арабских государств в России и встраивании проектов Синергии в это мероприятие.

Участники:
- Вадим Лобов
- Алихан Хашиев
- Другие участники, включая представителей различных проектов и инициатив.

Важные упоминания:
- Взаимодействие с ФСБ и другими государственными структурами.
- Законопроект об ограничении платных мест в вузах и его влияние на рынок образования.
- Инициативы по привлечению иностранных специалистов и студентов, включая индусов и северокорейцев.
- Взаимодействие с крупными IT-компаниями и государственными структурами для образовательных проектов.

Итог:
Встреча была посвящена обсуждению стратегических инициатив и проектов, направленных на развитие образовательных и культурных программ, а также взаимодействие с государственными и коммерческими структурами для достижения поставленных целей. Были даны конкретные поручения участникам для дальнейшей проработки тем и инициатив."
6,7,30.04.2025,"Встреча от 30.04.2025, Документ № 7

Ключевые темы:
- Подготовка к визиту президента в Индию и развитие сотрудничества с индийскими министерствами.
- Обсуждение законопроекта, ограничивающего набор на платные специальности в вузах.
- Разработка и продвижение проекта ""Мир возможностей"" с участием Шувалова и ВЭБ.
- Проект ""Защитник"": привлечение иностранцев и граждан СНГ к участию в СВО.
- Взаимодействие с Общественной палатой и развитие частного образования.
- Подготовка и участие в международных форумах и мероприятиях.

Основные тезисы:
- Необходимость создания программы подготовки для визита президента в Индию, включая культурные и деловые мероприятия.
- Законопроект о платных специальностях вызывает недовольство и требует активного противодействия.
- Проект ""Мир возможностей"" должен стать главным форумом ВЭБ, с акцентом на международное сотрудничество.
- В проекте ""Защитник"" акцент на привлечение кадров из СНГ и создание иностранного легиона.
- Общественная палата рассматривается как инструмент для продвижения интересов частного образования.
- Важность участия в международных форумах для укрепления позиций России на мировой арене.

Поручения:
- Лобов поручил Сарымову: Подготовить регулярный доклад о проработке совместных проектов с Министерствами Индии.
- Лобов поручил Александровой: Внести в базу контактов новые контакты Ампелонского.
- Лобов поручил Султанову: Подготовить регулярный доклад по проекту Парламент.
- Лобов поручил Кучерявому: Оптимизировать пакет документов по блоку Защитник.
- Лобов поручил Кучерявому: Подготовить материалы по проекту Страны СНГ в рамках проекта Защитник.
- Лобов поручил Кучерявому: Подготовить материалы по проекту Евкуров в рамках проекта Защитник.
- Лобов поручил Кучерявому: Подготовить материалы по проекту Создание учебных центров в рамках проекта Защитник.
- Лобов поручил Александрову и Султанову: Направить GR-директорам видео выступления В.Г. Лобова на Круглом столе в Общественной палате.
- Лобов поручил Назарову: Подготовить доклад о причинах общего несогласия с мнением Кравцова участников законодательного съезда.
- Лобов поручил Кучерявому: Подготовить доклад о взаимодействии с Трутневым по проекту НВП.

Участники:
- Вадим Георгиевич Лобов
- Другие участники, включая представителей различных министерств и ведомств.

Важные упоминания:
- Важность участия в международных форумах и укрепление позиций России.
- Необходимость активного противодействия законопроекту о платных специальностях.
- Развитие проекта ""Мир возможностей"" с участием Шувалова.
- Привлечение иностранных кадров в проект ""Защитник"".

Итог:
- Встреча была направлена на обсуждение стратегических проектов и инициатив, включая международное сотрудничество, образовательные реформы и развитие кадровых программ. Были даны конкретные поручения для дальнейшей работы над проектами и инициативами."
7,8,12.03.2025,"Встреча от 12.03.2025, Документ № 8

Ключевые темы:
- Формирование и участие в рабочих группах по технологическому предпринимательству.
- Организация и участие в инвестиционных клубах и проектах, таких как «Академия Синергия».
- Развитие международных проектов, включая взаимодействие с Африкой и создание сети ПТУ.
- Подготовка и участие в мероприятиях, таких как «Штурм Берлина».
- Взаимодействие с государственными структурами и участие в государственных программах.
- Развитие проектов в области беспилотных летательных аппаратов (БПЛА).
- Участие в конференциях и форумах, таких как Гостех.

Основные тезисы:
- Необходимость создания рабочих групп для изучения и участия в программах технологического предпринимательства.
- Акцент на целевых встречах и презентациях для привлечения инвесторов и партнеров.
- Важность международного сотрудничества, особенно с Африкой, для решения кадровых вопросов.
- Подготовка к крупным мероприятиям и необходимость привлечения спонсоров.
- Значимость взаимодействия с государственными органами и участие в государственных инициативах.
- Перспективы развития проектов в области БПЛА и участие в соответствующих рынках.

Поручения:
- Лобов поручил Павлову: Сформировать рабочую группу по вопросу получения грантов по технологическому предпринимательству.
- Лобов поручил Алончиковой: Подготовить доклад о возможности получения грантов для Факультета технологического предпринимательства.
- Лобов поручил Медведевой и Ерофееву: Подготовить список приглашенных на встречу Инвестиционного клуба по проекту Академия.
- Лобов поручил Александрову: Проработать организацию выездной нетворкинг-сессии с Безруковым.
- Лобов поручил Хитрову: Подготовить обращение на Бабушкина о вступлении В.Г. Лобова в состав Госсовета по поддержке ветеранов спецоперации и их семей.
- Лобов поручил Батырову: Подготовить доклад о вступлении В.Г. Лобова в состав Госсовета по поддержке ветеранов спецоперации и их семей.
- Лобов поручил Волостнову: Подготовить двухстраничную стратегию Корпорации по БПЛА.
- Лобов поручил Белякову: Подготовить предложение по взаимодействию с ГПБ по направлению БАС.
- Лобов поручил Назарову: Подготовить регулярный доклад по прогнозам СВО.
- Лобов поручил Павлову: Подготовить доклад о возможных номинациях Синергии на форуме Гостех.
- Лобов поручил Алончиковой: Обеспечить регулярное проведение штаба Женского комитета 1 раз в 2 недели.
- Лобов поручил Александрову: Подготовить доклад о развитии проектов в Мьянме.
- Лобов поручил Александрову: Подготовить реестр проектов для взаимодействия с Трутневым.
- Лобов поручил Медведевой: Подготовить реестр проектов для взаимодействия с Пригожиным.
- Лобов поручил Кучерявому: Организовать встречу Шкута с Водолацким в Луганске.
- Лобов поручил Кучерявому: Подготовить доклад о программе Время героев.
- Лобов поручил Михнёвой: Передать справку на утро по Комару.
- Лобов поручил Федяевой: Доработать презентацию.

Участники:
- В.Г. Лобов
- Павлов
- Алончикова
- Медведева
- Ерофеев
- Александров
- Хитров
- Батыров
- Волостнов
- Беляков
- Назаров
- Михнёва М.
- Другие участники, упомянутые в диалоге.

Важные упоминания:
- Инвестиционные клубы и проекты, такие как «Академия Синергия».
- Международные проекты в Африке, включая создание сети ПТУ.
- Взаимодействие с государственными структурами, такими как Госсовет и Минобороны.
- Развитие проектов в области БПЛА.
- Участие в конференциях и форумах, таких как Гостех.
- Взаимодействие с партнерами и спонсорами для крупных мероприятий.

Итог:
Встреча была посвящена обсуждению стратегических направлений развития корпорации, включая участие в государственных и международных проектах, развитие новых рынков и технологий, а также организацию и участие в значимых мероприятиях. Были даны поручения по формированию рабочих групп, подготовке докладов и взаимодействию с ключевыми партнерами и государственными структурами."
8,9,19.03.2025,"Встреча от 19.03.2025, Документ № 9

Ключевые темы:
- Проект ""Библиотека цифрового образовательного контента"" (БЦОК)
- Подготовка к проверке медицинского факультета
- Взаимодействие с Минцифры и Минобрнауки
- Организация мероприятий и взаимодействие с регионами
- Обсуждение проекта ""Содействие занятости""
- Международные и внутренние политические события

Основные тезисы:
- Необходимость создания рабочей группы для взаимодействия с Минцифры по проекту БЦОК.
- Подготовка к проверке медицинского факультета и необходимость привлечения именитых врачей.
- Важность взаимодействия с регионами и организация мероприятий для расширения влияния.
- Обсуждение проекта ""Содействие занятости"" и поиск крупных работодателей для сотрудничества.
- Обзор политических событий, влияющих на текущую деятельность.

Поручения:
- Лобов поручил Доле: Сформировать рабочую группу по вопросам размещения контента ШУС в проекте БЦОК, включить Ерофеева, Павлова, Кучерявого, Берковича.
- Лобов поручил Хитрову: Подготовить доклад о поиске именитых врачей для подписания программ Медфака Синергии.
- Лобов поручил Кучерявому: Включить проект Жуков в реестр проектов Проверка.
- Лобов поручил Кучерявому: Передать всем GR-директорам актуализированную таблицу проработки регионов 1 приоритета.
- Лобов поручил Михневой: Включить в график звонок Сапрыкину.
- Лобов поручил Ерофееву и Александровой: Провести встречи с GR-директорами по вопросам поиска компаний для проекта Содействие занятости.
- Лобов поручил Александрову: Подготовить доклад о вариантах сотрудничества с Новаком.
- Лобов поручил Мягких: Подготовить доклад о взаимодействии с Бабушкиным.
- Лобов поручил Александрову и Кучерявому: Проработать вопрос организации встреч с Святенко и Трутневым.
- Лобов поручил Кучерявому: Подготовить доклад о возможности сотрудничества с Миррой Андреевой.

Участники:
- Лобов
- Михнёва М.
- Ерофеев
- Кучерявый
- Другие участники не идентифицированы по ФИО

Важные упоминания:
- Минцифры и проект БЦОК
- Медицинский факультет и проверка
- Взаимодействие с регионами и организация мероприятий
- Проект ""Содействие занятости""
- Политические события, включая международные переговоры и внутренние назначения

Итог:
- Встреча была сосредоточена на стратегическом планировании и организации взаимодействия с ключевыми партнерами и регионами. Были даны поручения по формированию рабочих групп и подготовке докладов для обеспечения успешной реализации проектов и подготовки к проверкам. Обсуждались также международные и внутренние политические события, которые могут повлиять на текущую деятельность."
9,10,02.04.2025,"Встреча от 02.04.2025, Документ № 10

Ключевые темы:
- Организация Мегакампус саммита в Москве.
- Взаимодействие с московскими властями и ключевыми фигурами для реализации проекта.
- Развитие образовательных инициатив и взаимодействие с регионами.
- Вопросы по текущим проектам и стратегическим направлениям.

Основные тезисы:
- Необходимость привлечения иностранных спикеров и туристов для проведения саммита в Москве.
- Проблемы взаимодействия с московскими властями и поиск альтернативных путей для продвижения инициативы.
- Обсуждение возможностей открытия филиалов и образовательных программ в регионах, таких как Белгород.
- Активизация работы с грантами и тендерами для финансирования проектов.

Поручения:
- Лобов поручил Кучерявому: Подготовить программу проектов с распределением ответственных по проработке контактов С.С. Собянина для организации МК Саммит в Москве.
- Лобов поручил Кучерявому: Подготовить повестку ко встрече с Голиковой.
- Лобов поручил Батырову: Подготовить реестр контактов по Белгороду.
- Лобов поручил Волостнову: Подготовить доклад об итогах визита в Руднево.
- Лобов поручил Александрову: Подготовить доклад о перечне полномочий Дюмина.

Участники:
- Лобов
- Другие участники, упоминаемые как ""Другой""
- Кучерявый
- Михнёва М.
- Ивкова
- Батыров
- Волостнов
- Александров

Важные упоминания:
- Сергей Собянин, мэр Москвы, и необходимость его поддержки для проведения саммита.
- Кирилл Дмитриев и его роль в международных переговорах.
- Важность взаимодействия с министерствами и департаментами для реализации образовательных и инновационных проектов.
- Упоминание о необходимости создания рабочих групп и стратегий для развития проектов в регионах.

Итог:
- Встреча была посвящена обсуждению стратегий и путей реализации крупных проектов, таких как Мегакампус саммит в Москве и образовательные инициативы в регионах.
- Были определены ключевые задачи и ответственные лица для дальнейшей проработки проектов.
- Обсуждались возможности и препятствия для взаимодействия с властями и международными партнёрами.
- Приняты решения о необходимости активизации работы с грантами и тендерами для финансирования проектов."
